Production Companies,Film Title,Filming Location,Stars,Director,Genres,URL,Release Date
Butcher's Film Service;John Argyle Productions,The Hills of Donegal,United Kingdom,Dinah Sheridan;James Etherington;Moore Marriott,John Argyle,Drama,https://www.imdb.com/title/tt0176815/?ref_=adv_li_tt,"August 19, 1947"
Gainsborough Pictures,Diamond City,United Kingdom,David Farrar;Honor Blackman;Diana Dors,David MacDonald,Drama;Adventure,https://www.imdb.com/title/tt0041294/?ref_=adv_li_tt,"September 22, 1949"
Children's Film Foundation (CFF);Gaumont British Picture Corporation,Supersonic Saucer,United Kingdom,Marcia Manolescue;Gillian Harrison;Fella Edmonds,Guy Fergusson,Adventure;Family;Sci-Fi,https://www.imdb.com/title/tt0247746/?ref_=adv_li_tt,March 1956
Gaumont British Picture Corporation,Mister Hobo,United Kingdom,George Arliss;Gene Gerrard;Frank Cellier,Milton Rosmer,Comedy,https://www.imdb.com/title/tt0026446/?ref_=adv_li_tt,"October 1, 1935"
Herbert Wilcox Productions,Girl in the Street,United Kingdom,Anna Neagle;Tullio Carminati;Robert Douglas,Herbert Wilcox,Drama;Music;Romance,https://www.imdb.com/title/tt0029160/?ref_=adv_li_tt,"February 4, 1937"
Gaumont British Picture Corporation,The Murder Party,United Kingdom,Malcolm Keen;Jane Baxter;Leslie Banks,Michael Powell,Crime;Mystery;Thriller,https://www.imdb.com/title/tt0025564/?ref_=adv_li_tt,"August 11, 1934"
Windsor (II),Kiss Me Goodbye,United Kingdom,Arthur Riscoe;Naunton Wayne;Magda Schneider,Carmine Gallone,Musical,https://www.imdb.com/title/tt0025186/?ref_=adv_li_tt,"September 30, 1933"
Hammer Films,Someone at the Door,United Kingdom,Michael Medwin;Garry Marsh;Yvonne Owen,Francis Searle,Mystery,https://www.imdb.com/title/tt0042985/?ref_=adv_li_tt,April 1950
Ealing Studios,Another Shore,United Kingdom,Robert Beatty;Moira Lister;Stanley Holloway,Charles Crichton,Comedy,https://www.imdb.com/title/tt0040103/?ref_=adv_li_tt,"November 25, 1948"
Hammer Films,Women Without Men,United Kingdom;United States,Beverly Michaels;Joan Rice;Thora Hird,Elmo Williams;Bert Glazer,Crime;Drama,https://www.imdb.com/title/tt0049018/?ref_=adv_li_tt,April 1956
Parroch;Coronado Productions;Jack Parsons Productions,Danger Tomorrow,United Kingdom,Zena Walker;Robert Urquhart;Lisa Daniely,Terry Bishop,Crime;Drama;Mystery,https://www.imdb.com/title/tt0053748/?ref_=adv_li_tt,April 1960
John E. Blakeley Productions;Mancunian Film,Somewhere on Leave,United Kingdom,Frank Randle;Harry Korris;Dan Young,John E. Blakeley,Comedy;War,https://www.imdb.com/title/tt0035358/?ref_=adv_li_tt,February 1943
Anglo-Guild Productions;Merton Park Studios,Urge to Kill,United Kingdom,Patrick Barr;Howard Pays;Terence Knapp,Vernon Sewell,Crime;Drama;Mystery,https://www.imdb.com/title/tt0226581/?ref_=adv_li_tt,March 1960
Leontine Entertainments,A Killer Walks,United Kingdom,Susan Shaw;Laurence Harvey;Trader Faulkner,Ronald Drake,Crime;Drama,https://www.imdb.com/title/tt0044798/?ref_=adv_li_tt,October 1952
Freja Film,No Time to Kill,Sweden;United Kingdom,John Ireland;Ellen Schwiers;Birgitta Andersson,Tom Younger,Drama;Thriller,https://www.imdb.com/title/tt0055236/?ref_=adv_li_tt,"March 20, 1959"
Gainsborough Pictures;British Lion Film Corporation,The Gaunt Stranger,United Kingdom,Patric Curwen;Esmond Knight;John Longden,Walter Forde,Thriller,https://www.imdb.com/title/tt0023404/?ref_=adv_li_tt,April 1931
Victor Hanbury Productions,The Long Rope,United Kingdom,Donald Houston;Susan Shaw;Robert Brown,Wolf Rilla,Crime;Drama;Mystery,https://www.imdb.com/title/tt0045984/?ref_=adv_li_tt,December 1953
Hammer Films,The Rossiter Case,United Kingdom,Helen Shingler;Clement McCallin;Sheila Burrell,Francis Searle,Drama;Mystery,https://www.imdb.com/title/tt0042910/?ref_=adv_li_tt,"January 21, 1951"
Gilbert Church Productions,King of the Underworld,United Kingdom,Tod Slaughter;Patrick Barr;Tucker McGuire,Victor M. Gover,Crime;Drama,https://www.imdb.com/title/tt0125310/?ref_=adv_li_tt,July 1952
British Lion Films;Elstree Independent Films Ltd.;Jack Hylton Productions,Make Mine a Million,United Kingdom,Arthur Askey;Sidney James;Dermot Walsh,Lance Comfort,Comedy,https://www.imdb.com/title/tt0053038/?ref_=adv_li_tt,"February 24, 1959"
Independent Film Producers (IFP);Phoenix Films (II),The House of the Spaniard,United Kingdom,Brigitte Horney;Peter Haddon;Jean Galland,Reginald Denham,Adventure;Comedy;Crime,https://www.imdb.com/title/tt0027765/?ref_=adv_li_tt,"October 28, 1936"
Independent Artists,Breakout,United Kingdom,Lee Patterson;Hazel Court;William Lucas,Peter Graham Scott,Drama,https://www.imdb.com/title/tt0224679/?ref_=adv_li_tt,March 1959
Gaumont British Picture Corporation,Things Are Looking Up,United Kingdom,Cicely Courtneidge;Max Miller;William Gargan,Albert de Courville,Comedy;Musical,https://www.imdb.com/title/tt0027090/?ref_=adv_li_tt,"June 9, 1935"
Gaumont British Picture Corporation,The Great Game,United Kingdom,John Batten;Renee Clama;Jack Cock,Jack Raymond,Comedy;Sport,https://www.imdb.com/title/tt0020936/?ref_=adv_li_tt,"August 27, 1930"
Danziger Productions Ltd.,The Depraved,United Kingdom,Anne Heywood;Robert Arden;Carroll Levis,Paul Dickson,Crime,https://www.imdb.com/title/tt0049134/?ref_=adv_li_tt,November 1957
Gainsborough Pictures,It's That Man Again,United Kingdom,Tommy Handley;Greta Gynt;Jack Train,Walter Forde,Comedy,https://www.imdb.com/title/tt0034907/?ref_=adv_li_tt,"March 22, 1943"
Herbert Wilcox Productions,The Lady Is a Square,United Kingdom,Anna Neagle;Frankie Vaughan;Janette Scott,Herbert Wilcox,Comedy;Musical;Romance,https://www.imdb.com/title/tt0052986/?ref_=adv_li_tt,"February 3, 1959"
Grafton Films;Capitol Film Corporation;Cecil Films,The Lilac Domino,United Kingdom,Michael Bartlett;June Knight;S.Z. Sakall,Frederic Zelnik,Musical;Romance,https://www.imdb.com/title/tt0027887/?ref_=adv_li_tt,April 1937
Venture Films,The Body Vanished,United Kingdom,Anthony Hulme;C. Denier Warren;Ernest Sefton,Walter Tennyson,Comedy;Crime;Mystery,https://www.imdb.com/title/tt0299569/?ref_=adv_li_tt,1939
Gainsborough Pictures,Broken Journey,United Kingdom,Phyllis Calvert;Margot Grahame;James Donald,Ken Annakin;Michael C. Chorlton,Drama,https://www.imdb.com/title/tt0040189/?ref_=adv_li_tt,"May 31, 1948"
London Film Productions,Action for Slander,United Kingdom,Clive Brook;Ann Todd;Margaretta Scott,Tim Whelan;Victor Saville,Drama,https://www.imdb.com/title/tt0029838/?ref_=adv_li_tt,"January 21, 1937"
Jack Eppel Productions,The Fortunate Fool,United Kingdom,Hugh Wakefield;Joan Wyndham;Jack Raine,Norman Walker,Comedy,https://www.imdb.com/title/tt0166618/?ref_=adv_li_tt,"March 9, 1934"
Tempean Films,The Frightened Man,United Kingdom,Dermot Walsh;Barbara Murray;Charles Victor,John Gilling,Crime;Drama,https://www.imdb.com/title/tt0044637/?ref_=adv_li_tt,March 1952
CAPAD;Ealing Studios,Young Man's Fancy,United Kingdom,Griffith Jones;Anna Lee;Seymour Hicks,Robert Stevenson,Comedy,https://www.imdb.com/title/tt0032154/?ref_=adv_li_tt,August 1939
Gaumont British Picture Corporation,Climbing High,United Kingdom,Jessie Matthews;Michael Redgrave;Noel Madison,Carol Reed,Comedy,https://www.imdb.com/title/tt0031161/?ref_=adv_li_tt,November 1938
Raymond Stross Productions,Hell Is Sold Out,United Kingdom,Mai Zetterling;Ivor Barnard;Nicholas Hannen,Michael Anderson,Drama,https://www.imdb.com/title/tt0043629/?ref_=adv_li_tt,June 1951
Associated British Picture Corporation (ABPC);Allegro,No Trees in the Street,United Kingdom,Sylvia Syms;Herbert Lom;Ronald Howard,J. Lee Thompson,Crime;Drama,https://www.imdb.com/title/tt0052006/?ref_=adv_li_tt,"March 3, 1959"
Warner Brothers-First National Productions,George and Margaret,United Kingdom,Marie Lohr;Judy Kelly;Noel Howlett,George King,Comedy,https://www.imdb.com/title/tt0032518/?ref_=adv_li_tt,"November 30, 1940"
Bill and Michael Luckwell Ltd.,Man Who Couldn't Walk,United Kingdom,Eric Pohlmann;Peter Reynolds;Pat Clavin,Henry Cass,Crime;Drama,https://www.imdb.com/title/tt0221373/?ref_=adv_li_tt,"October 16, 1960"
Realist Films Ltd.,One Wish Too Many,United Kingdom,Anthony Richmond;Rosalind Gourgey;John Pike,John Durst,Family;Comedy;Fantasy,https://www.imdb.com/title/tt0049573/?ref_=adv_li_tt,September 1956
British National Films,The Laughing Lady,United Kingdom,Anne Ziegler;Webster Booth;Francis L. Sullivan,Paul L. Stein,Drama;Musical,https://www.imdb.com/title/tt0038685/?ref_=adv_li_tt,"October 16, 1946"
Kenilworth Film Productions;Mid Century Film Productions,Delayed Action,United Kingdom,Robert Ayres;June Thorburn;Alan Wheatley,John Harlow,Mystery,https://www.imdb.com/title/tt0165707/?ref_=adv_li_tt,July 1954
J. Arthur Rank Organisation;Group Film Productions Limited,The Woman for Joe,United Kingdom,Diane Cilento;George Baker;Jimmy Karoubi,George More O'Ferrall,Drama;Romance,https://www.imdb.com/title/tt0048810/?ref_=adv_li_tt,"August 25, 1955"
Gibraltar Productions;Élysée Films,Guilty?,United Kingdom;France,John Justin;Barbara Laage;Donald Wolfit,Edmond T. Gréville,Crime;Drama,https://www.imdb.com/title/tt0137849/?ref_=adv_li_tt,"April 11, 1956"
,You're Only Young Twice,United Kingdom,Duncan Macrae;Joseph Tomelty;Patrick Barr,Terry Bishop,Comedy,https://www.imdb.com/title/tt0030998/?ref_=adv_li_tt,July 1952
British Unity Pictures,The Girl in the Taxi,United Kingdom,Frances Day;Henri Garat;Lawrence Grossmith,André Berthomieu,Musical,https://www.imdb.com/title/tt0146797/?ref_=adv_li_tt,"September 3, 1937"
Gaumont British Picture Corporation,Head Over Heels in Love,United Kingdom,Jessie Matthews;Louis Borel;Robert Flemyng,Sonnie Hale,Musical,https://www.imdb.com/title/tt0028983/?ref_=adv_li_tt,"January 15, 1937"
Basil Humphrys Productions,Play Up the Band,United Kingdom,Stanley Holloway;Betty Ann Davies;Leslie Bradley,Harry Hughes,Comedy,https://www.imdb.com/title/tt0168127/?ref_=adv_li_tt,"November 25, 1935"
Butcher's Film Service,Variety Jubilee,United Kingdom,Reginald Purdell;Lesley Brook;Ellis Irving,Maclean Rogers,Musical,https://www.imdb.com/title/tt0035506/?ref_=adv_li_tt,"June 14, 1943"
Premier Sound Films,Midnight at the Wax Museum,United Kingdom,James Carew;Charles Oliver;Lucille Lisle,George Pearson,Crime;Drama;Mystery;Thriller,https://www.imdb.com/title/tt0027966/?ref_=adv_li_tt,"December 23, 1936"
Julius Hagen Productions,A Fire Has Been Arranged,United Kingdom,Bud Flanagan;Chesney Allen;Mary Lawson,Leslie S. Hiscott,Comedy;Crime;Musical,https://www.imdb.com/title/tt0026359/?ref_=adv_li_tt,"October 14, 1935"
Richard Eichberg-Film GmbH;British International Pictures (BIP);Les Établissements Jacques Haïk,Hai-Tang,United Kingdom;Germany,Anna May Wong;Marcel Vibert;Robert Ancelin,Richard Eichberg;Jean Kemm,Drama,https://www.imdb.com/title/tt0202385/?ref_=adv_li_tt,"March 7, 1930"
Production Facilities;Highbury Productions,A Song for Tomorrow,United Kingdom,Evelyn McCabe;Ralph Michael;Shaun Noble,Terence Fisher,Drama;Romance,https://www.imdb.com/title/tt0040821/?ref_=adv_li_tt,"June 7, 1948"
Association of Cinema Technicians (A.C.T.),The Blue Parrot,United Kingdom,Dermot Walsh;Jacqueline Hill;Ballard Berkeley,John Harlow,Crime;Drama,https://www.imdb.com/title/tt0172185/?ref_=adv_li_tt,October 1953
Vandyke Pictures;Roger Proudlock Productions,Four Days,United Kingdom,Hugh McDermott;Kathleen Byron;Peter Reynolds,John Guillermin,Drama,https://www.imdb.com/title/tt0043558/?ref_=adv_li_tt,October 1951
British National Films,The Trojan Brothers,United Kingdom,Patricia Burke;David Farrar;Bobby Howes,Maclean Rogers,Comedy;Drama,https://www.imdb.com/title/tt0039049/?ref_=adv_li_tt,"February 4, 1946"
Film Studios Manchester,Those People Next Door,United Kingdom,Jack Warner;Charles Victor;Marjorie Rhodes,John Harlow,Comedy,https://www.imdb.com/title/tt0196153/?ref_=adv_li_tt,February 1953
British International Pictures (BIP),Invitation to the Waltz,United Kingdom,Lilian Harvey;Wendy Toye;Carl Esmond,Paul Merzbach,Musical,https://www.imdb.com/title/tt0145846/?ref_=adv_li_tt,October 1935
Bernard Natan;Liano Films,La bataille,United Kingdom;France,Charles Boyer;Annabella;John Loder,Nicolas Farkas;Viktor Tourjansky,Drama;War,https://www.imdb.com/title/tt0145670/?ref_=adv_li_tt,1933
Burnham Productions,Look Before You Love,United Kingdom,Margaret Lockwood;Griffith Jones;Norman Wooland,Harold Huth,Comedy,https://www.imdb.com/title/tt0040549/?ref_=adv_li_tt,"December 7, 1948"
British International Pictures (BIP);Richard Eichberg-Film GmbH,Der Greifer,Germany;United Kingdom,Hans Albers;Charlotte Susa;Margot Landa,Richard Eichberg,Crime;Drama,https://www.imdb.com/title/tt0020789/?ref_=adv_li_tt,"September 17, 1930"
British National Films,We'll Smile Again,United Kingdom,Bud Flanagan;Chesney Allen;Meinhart Maur,John Baxter,Comedy;Musical,https://www.imdb.com/title/tt0035539/?ref_=adv_li_tt,"December 7, 1942"
Anthony Gilkison Productions,The Young Jacobites,United Kingdom,Francesca Annis;Jeremy Bulloch;Frazer Hines,John Reeve,Adventure,https://www.imdb.com/title/tt0316923/?ref_=adv_li_tt,June 1960
Children's Film Foundation (CFF);World Safari,Ali and the Camel,United Kingdom,Robert Cawdron;Abdul Daabub;Gordon Henry Davies,Henry Geddes,Adventure;Family,https://www.imdb.com/title/tt3311584/?ref_=adv_li_tt,1960
Colin Lesslie Productions,No Resting Place,United Kingdom,Michael Gough;Eithne Dunne;Noel Purcell,Paul Rotha,Crime;Drama,https://www.imdb.com/title/tt0251301/?ref_=adv_li_tt,1951
Wyndham Productions,The Secret of the Loch,United Kingdom,Seymour Hicks;Nancy O'Neil;Gibson Gowland,Milton Rosmer,Adventure;Fantasy;Comedy,https://www.imdb.com/title/tt0025759/?ref_=adv_li_tt,"May 29, 1934"
Hammer Films;Lesser Films,Death of an Angel,United Kingdom,Patrick Barr;Jane Baxter;Julie Somers,Charles Saunders,Crime;Drama,https://www.imdb.com/title/tt0204251/?ref_=adv_li_tt,January 1952
Marcel Hellman Productions,Meet Me at Dawn,United Kingdom,William Eythe;Stanley Holloway;Hazel Court,Thornton Freeland,Adventure;Comedy,https://www.imdb.com/title/tt0039616/?ref_=adv_li_tt,"February 17, 1947"
British National Films,Spies of the Air,United Kingdom,Barry K. Barnes;Joan Marion;Roger Livesey,David MacDonald,Adventure,https://www.imdb.com/title/tt0033090/?ref_=adv_li_tt,May 1939
Gainsborough Pictures,It's Not Cricket,United Kingdom,Basil Radford;Naunton Wayne;Susan Shaw,Roy Rich;Alfred Roome,Adventure;Comedy,https://www.imdb.com/title/tt0040482/?ref_=adv_li_tt,April 1949
Burnham Productions,My Sister and I,United Kingdom,Sally Ann Howes;Dermot Walsh;Martita Hunt,Harold Huth,Drama,https://www.imdb.com/title/tt0040630/?ref_=adv_li_tt,"August 2, 1948"
Tempean Films,Hour of Decision,United Kingdom,Jeff Morrow;Hazel Court;Anthony Dawson,C.M. Pennington-Richards,Mystery,https://www.imdb.com/title/tt0050525/?ref_=adv_li_tt,April 1957
British National Films,When We Are Married,United Kingdom,Sydney Howard;Raymond Huntley;Olga Lindo,Lance Comfort,Comedy,https://www.imdb.com/title/tt0171918/?ref_=adv_li_tt,"March 16, 1943"
Nelson Film;Vandor Film,Don Quichotte,France;United Kingdom,Feodor Chaliapin Sr.;Dorville;René Donnio,Georg Wilhelm Pabst,Adventure;Drama,https://www.imdb.com/title/tt0204285/?ref_=adv_li_tt,"March 16, 1933"
George H. Brown Productions;Two Cities Films,The Amazing Mr. Beecham,United Kingdom,Cecil Parker;A.E. Matthews;David Tomlinson,John Paddy Carstairs,Comedy;Romance,https://www.imdb.com/title/tt0041245/?ref_=adv_li_tt,"September 27, 1949"
Premier Productions Ltd.,Idol of Paris,United Kingdom,Michael Rennie;Beryl Baxter;Christine Norden,Leslie Arliss,Drama,https://www.imdb.com/title/tt0163002/?ref_=adv_li_tt,"April 26, 1948"
Dragon Films,The Silken Affair,United Kingdom,David Niven;Geneviève Page;Ronald Squire,Roy Kellino,Comedy;Crime;Romance,https://www.imdb.com/title/tt0050973/?ref_=adv_li_tt,"October 2, 1956"
British Lion Film Corporation,Melody and Romance,United Kingdom,Hughie Green;Margaret Lockwood;Jane Carr,Maurice Elvey,Comedy;Musical,https://www.imdb.com/title/tt0029228/?ref_=adv_li_tt,"December 9, 1937"
Twentieth Century-Fox Productions,Troubled Waters,United Kingdom,Virginia Cherrill;James Mason;Alastair Sim,Albert Parker,Crime;Mystery,https://www.imdb.com/title/tt0028417/?ref_=adv_li_tt,"February 4, 1936"
British & Dominions Film Corporation,Venetian Nights,United Kingdom,Matheson Lang;Joseph Schildkraut;Chili Bouchier,Herbert Wilcox,Drama,https://www.imdb.com/title/tt0021717/?ref_=adv_li_tt,"November 2, 1931"
British Lion Film Corporation,The Genie,United Kingdom,Douglas Fairbanks Jr.;Sean Barrett;Patricia Cutts,Lance Comfort;Lawrence Huntington,Drama,https://www.imdb.com/title/tt0214712/?ref_=adv_li_tt,"July 8, 1953"
Robert Jordan Hill Productions,Bless 'Em All,United Kingdom,Hal Monty;Max Bygraves;Les Ritchie,Robert Jordan Hill,Comedy;Musical;War,https://www.imdb.com/title/tt0171123/?ref_=adv_li_tt,"July 11, 1949"
Gainsborough Pictures,Alf's Button Afloat,United Kingdom,Bud Flanagan;Chesney Allen;Jimmy Nervo,Marcel Varnel,Comedy,https://www.imdb.com/title/tt0029853/?ref_=adv_li_tt,July 1938
Associated British Picture Corporation (ABPC),The Man from Morocco,United Kingdom,Anton Walbrook;Margaretta Scott;Mary Morris,Mutz Greenbaum,Action;Adventure,https://www.imdb.com/title/tt0038723/?ref_=adv_li_tt,"April 9, 1945"
Ealing Studios;Michael Balcon Productions,Out of the Clouds,United Kingdom,Anthony Steel;Robert Beatty;David Knight,Basil Dearden,Drama,https://www.imdb.com/title/tt0047319/?ref_=adv_li_tt,"February 14, 1955"
Danziger Productions Ltd.,Compelled,United Kingdom,Beth Rogan;Ronald Howard;John Gabriel,Ramsey Herrington,Crime;Drama,https://www.imdb.com/title/tt0053730/?ref_=adv_li_tt,December 1960
British Lion Film Corporation;Wellington,Game of Danger,United Kingdom,Jack Warner;Derek Farr;Veronica Hurst,Lance Comfort,Drama,https://www.imdb.com/title/tt0046749/?ref_=adv_li_tt,"March 16, 1954"
Julius Hagen Productions,Department Store,United Kingdom,Jack Melford;Sebastian Shaw;Garry Marsh,Leslie S. Hiscott,Comedy;Crime,https://www.imdb.com/title/tt0026269/?ref_=adv_li_tt,"May 10, 1935"
David Dent Productions,You Lucky People!,United Kingdom,Tommy Trinder;Mary Parker;Dora Bryan,Maurice Elvey,Comedy,https://www.imdb.com/title/tt0048821/?ref_=adv_li_tt,"July 18, 1955"
British National Films,This England,United Kingdom,Emlyn Williams;John Clements;Constance Cummings,David MacDonald,Drama;History;Romance;War,https://www.imdb.com/title/tt0034284/?ref_=adv_li_tt,"July 21, 1941"
Gainsborough Pictures,Band Waggon,United Kingdom,Arthur Askey;Jack Hylton and His Band;Richard Murdoch,Marcel Varnel,Comedy;Musical,https://www.imdb.com/title/tt0031077/?ref_=adv_li_tt,"March 23, 1940"
Associated British Picture Corporation (ABPC),The Strangler,United Kingdom,Judy Campbell;Sebastian Shaw;Niall MacGinnis,Harold Huth,Mystery,https://www.imdb.com/title/tt0033108/?ref_=adv_li_tt,"June 23, 1941"
Gainsborough Pictures,Neutral Port,United Kingdom,Will Fyffe;Leslie Banks;Yvonne Arnaud,Marcel Varnel,Action;Comedy;Drama;War,https://www.imdb.com/title/tt0032838/?ref_=adv_li_tt,"December 6, 1940"
British National Films,Medal for the General,United Kingdom,Godfrey Tearle;Jeanne De Casalis;Morland Graham,Maurice Elvey,Drama;War,https://www.imdb.com/title/tt0037058/?ref_=adv_li_tt,"November 6, 1944"
Gaumont British Picture Corporation,Doomed Cargo,United Kingdom,Edmund Lowe;Constance Cummings;Thomy Bourdelle,Albert de Courville,Crime;Thriller,https://www.imdb.com/title/tt0028240/?ref_=adv_li_tt,June 1936
Corsair Pictures,Meet Mr. Malcolm,United Kingdom,Adrianne Allen;Sarah Lawson;Richard Gale,Daniel Birt,Crime;Drama,https://www.imdb.com/title/tt0047226/?ref_=adv_li_tt,January 1954
Associated British Picture Corporation (ABPC);World Screenplays;De Grunwald Productions,Bond Street,United Kingdom,Jean Kent;Roland Young;Kathleen Harrison,Gordon Parry,Drama,https://www.imdb.com/title/tt0039206/?ref_=adv_li_tt,"August 2, 1948"
Hammer Films,The Lyons Abroad,United Kingdom,Ben Lyon;Bebe Daniels;Barbara Lyon,Val Guest,Comedy,https://www.imdb.com/title/tt0048325/?ref_=adv_li_tt,"February 11, 1955"
British National Films,Let the People Sing,United Kingdom,Alastair Sim;Fred Emney;Edward Rigby,John Baxter,Comedy,https://www.imdb.com/title/tt0034972/?ref_=adv_li_tt,"August 10, 1942"
Columbia British Productions,Bell-Bottom George,United Kingdom,George Formby;Anne Firth;Reginald Purdell,Marcel Varnel,Comedy;War,https://www.imdb.com/title/tt0035670/?ref_=adv_li_tt,"February 7, 1944"
Ealing Studios,Somewhere in France,United Kingdom,Tommy Trinder;Constance Cummings;Clifford Evans,Charles Frend,Adventure;Drama;War,https://www.imdb.com/title/tt0033621/?ref_=adv_li_tt,"June 22, 1942"
British National Films,Twilight Hour,United Kingdom,Mervyn Johns;Basil Radford;Marie Lohr,Paul L. Stein,Crime;Drama,https://www.imdb.com/title/tt0037406/?ref_=adv_li_tt,"October 11, 1944"
Production Facilities;Highbury Productions,Colonel Bogey,United Kingdom,Jack Train;Mary Jerrold;Jane Barrett,Terence Fisher,Fantasy,https://www.imdb.com/title/tt0177645/?ref_=adv_li_tt,"August 25, 1948"
Gaumont British Picture Corporation,Evensong,United Kingdom,Evelyn Laye;Fritz Kortner;Emlyn Williams,Victor Saville,Drama;Musical;Romance;War,https://www.imdb.com/title/tt0025092/?ref_=adv_li_tt,September 1934
Clifton-Hurst Productions,Bucket of Blood,United Kingdom,Norman Dryden;John Kelt;Yolande Terrell,Brian Desmond Hurst,Horror,https://www.imdb.com/title/tt0149973/?ref_=adv_li_tt,March 1934
Robert Jordan Hill Productions,High Jinks in Society,United Kingdom,Ben Wrigley;Barbara Shaw;Moore Marriott,John Guillermin;Robert Jordan Hill,Comedy,https://www.imdb.com/title/tt0174737/?ref_=adv_li_tt,December 1949
Associated British Picture Corporation (ABPC),The Dancing Years,United Kingdom,Dennis Price;Gisèle Préville;Patricia Dainton,Harold French,Drama;Musical;Romance,https://www.imdb.com/title/tt0040266/?ref_=adv_li_tt,"July 19, 1950"
Gaumont British Picture Corporation,Britannia of Billingsgate,United Kingdom,Violet Loraine;Gordon Harker;Kay Hammond,Sinclair Hill,Comedy;Drama;Musical,https://www.imdb.com/title/tt0023845/?ref_=adv_li_tt,July 1933
Bruton Film Productions,Late at Night,United Kingdom,Daphne Day;Barry Morse;Noel Dryden,Michael C. Chorlton,Crime,https://www.imdb.com/title/tt0175839/?ref_=adv_li_tt,March 1946
Julius Hagen Productions,The Pointing Finger,United Kingdom,John Stuart;Viola Keats;Leslie Perrins,George Pearson,Crime;Drama,https://www.imdb.com/title/tt0025658/?ref_=adv_li_tt,"December 6, 1933"
British Lion Films;Colin Lesslie Productions,Charley Moon,United Kingdom,Max Bygraves;Dennis Price;Michael Medwin,Guy Hamilton,Musical,https://www.imdb.com/title/tt0178321/?ref_=adv_li_tt,"May 1, 1956"
British Mercury,Adventure in Blackmail,United Kingdom,Clive Brook;Judy Campbell;C.V. France,Harold Huth;Roland Pertwee,Drama;Romance,https://www.imdb.com/title/tt0034548/?ref_=adv_li_tt,"April 20, 1942"
Rich & Rich Ltd.,Diplomatic Passport,United Kingdom;United States,Marsha Hunt;Paul Carpenter;Henry Oscar,Gene Martel,Crime;Thriller,https://www.imdb.com/title/tt0168663/?ref_=adv_li_tt,"August 13, 1954"
CAPAD;Ealing Studios,Return to Yesterday,United Kingdom,Clive Brook;Anna Lee;May Whitty,Robert Stevenson,Drama,https://www.imdb.com/title/tt0031853/?ref_=adv_li_tt,"March 9, 1940"
Associated British Picture Corporation (ABPC),Just William,United Kingdom,Richard Lupino;Fred Emney;Basil Radford,Graham Cutts,Comedy,https://www.imdb.com/title/tt0031522/?ref_=adv_li_tt,"July 20, 1940"
Butcher's Film Service;Signet Films Ltd.,Danny Boy,United Kingdom,Wilfrid Lawson;Ann Todd;John Warwick,Oswald Mitchell,Drama;Musical,https://www.imdb.com/title/tt0033513/?ref_=adv_li_tt,"August 25, 1941"
Army Kinematograph Corporation;World Wide Pictures,Captured,United Kingdom,Anthony Farrar-Hockley;Wilfrid Brambell;Ray Brooks,John Krish,Drama;War,https://www.imdb.com/title/tt2025516/?ref_=adv_li_tt,1959
Mancunian Film,Trouble with Eve,United Kingdom,Robert Urquhart;Hy Hazell;Garry Marsh,Francis Searle,Comedy,https://www.imdb.com/title/tt0054408/?ref_=adv_li_tt,March 1960
Tempean Films,Escape by Night,United Kingdom,Bonar Colleano;Andrew Ray;Sidney James,John Gilling,Crime;Drama;Film-Noir,https://www.imdb.com/title/tt0045736/?ref_=adv_li_tt,December 1953
Wallace Productions,Caught in the Net,United Kingdom,Jeremy Bulloch;Joanna Horlock;James Luck,John Haggerty,Family,https://www.imdb.com/title/tt0168571/?ref_=adv_li_tt,April 1960
Gainsborough Pictures,Jack of All Trades,United Kingdom,Jack Hulbert;Gina Malo;Robertson Hare,Jack Hulbert;Robert Stevenson,Comedy,https://www.imdb.com/title/tt0030905/?ref_=adv_li_tt,"April 13, 1936"
Associated British Picture Corporation (ABPC),The Flying Squad,United Kingdom,Phyllis Brooks;Sebastian Shaw;Jack Hawkins,Herbert Brenon,Crime;Drama,https://www.imdb.com/title/tt0032482/?ref_=adv_li_tt,"October 12, 1940"
Associated Talking Pictures (ATP),Loyalties,United Kingdom,Basil Rathbone;Miles Mander;Alan Napier,Basil Dean;Thorold Dickinson,Crime;Drama,https://www.imdb.com/title/tt0024275/?ref_=adv_li_tt,"July 3, 1933"
Irving Asher Productions,Missing Ten Days,United Kingdom,Rex Harrison;Kaaren Verne;C.V. France,Tim Whelan,Drama,https://www.imdb.com/title/tt0032011/?ref_=adv_li_tt,"June 1, 1940"
Cullimore-Arbeid Productions,Vengeance Is Mine,United Kingdom,Valentine Dyall;Anne Firth;Richard Goolden,Alan Cullimore,Crime;Drama,https://www.imdb.com/title/tt0040936/?ref_=adv_li_tt,July 1949
British National Films,The Common Touch,United Kingdom,Geoffrey Hibbert;Harry Welchman;Greta Gynt,John Baxter,Drama,https://www.imdb.com/title/tt0033479/?ref_=adv_li_tt,"December 15, 1941"
Wyndham Productions,It Happened in Paris,United Kingdom,John Loder;Nancy Burne;Edward H. Robins,Robert Wyler;Carol Reed,Comedy;Romance,https://www.imdb.com/title/tt0026536/?ref_=adv_li_tt,"June 25, 1935"
George King Productions,It's Never Too Late to Mend,United Kingdom,Tod Slaughter;Jack Livesey;Marjorie Taylor,David MacDonald,Drama,https://www.imdb.com/title/tt0029301/?ref_=adv_li_tt,March 1937
